MCS_Index,Distance,SNR
qam_M4_R50,100,4.99186780618622
qam_M4_R50,100,3.13337944350597
qam_M4_R50,104,4.99186780618622
qam_M4_R50,104,3.13337944350597
qam_M4_R50,108,4.99186780618622
qam_M4_R50,108,3.13337944350597
qam_M4_R50,112,4.99186780618622
qam_M4_R50,112,3.13337944350597
qam_M4_R50,116,4.99186780618622
qam_M4_R50,116,3.13337944350597
qam_M4_R50,120,4.99186780618622
qam_M4_R50,120,3.13337944350597
qam_M4_R50,124,4.99186780618622
qam_M4_R50,124,3.13337944350597
qam_M4_R50,128,4.99186780618622
qam_M4_R50,128,3.13337944350597
qam_M4_R50,132,4.99186780618622
qam_M4_R50,132,3.13337944350597
qam_M4_R50,136,4.99186780618622
qam_M4_R50,136,3.13337944350597
qam_M4_R50,140,4.99186780618622
qam_M4_R50,140,3.13337944350597
qam_M4_R50,144,4.99186780618622
qam_M4_R50,144,3.13337944350597
qam_M4_R50,148,4.99186780618622
qam_M4_R50,148,3.13337944350597
qam_M4_R50,152,4.99186780618622
qam_M4_R50,152,3.13337944350597
qam_M4_R50,156,4.99186780618622
qam_M4_R50,156,3.13337944350597
qam_M4_R50,160,4.99186780618622
qam_M4_R50,160,3.13337944350597
qam_M4_R50,164,4.99186780618622
qam_M4_R50,164,3.13337944350597
qam_M4_R50,168,4.99186780618622
qam_M4_R50,168,3.13337944350597
qam_M4_R50,172,4.99186780618622
qam_M4_R50,172,3.13337944350597
qam_M4_R50,176,4.99186780618622
qam_M4_R50,176,3.13337944350597
qam_M4_R50,180,4.99186780618622
qam_M4_R50,180,3.13337944350597
qam_M4_R50,184,4.99186780618622
qam_M4_R50,184,3.13337944350597
qam_M4_R50,188,4.99186780618622
qam_M4_R50,188,3.13337944350597
qam_M4_R50,192,4.99186780618622
qam_M4_R50,192,3.13337944350597
qam_M4_R50,196,4.99186780618622
qam_M4_R50,196,3.13337944350597
qam_M4_R50,200,4.99186780618622
qam_M4_R50,200,3.13337944350597
qam_M4_R50,204,4.99186780618622
qam_M4_R50,204,3.13337944350597
qam_M4_R50,208,4.99186780618622
qam_M4_R50,208,3.13337944350597
qam_M4_R50,212,4.99186780618622
qam_M4_R50,212,3.13337944350597
qam_M4_R50,216,4.99186780618622
qam_M4_R50,216,3.13337944350597
qam_M4_R50,220,4.99186780618622
qam_M4_R50,220,3.13337944350597
qam_M4_R50,224,4.99186780618622
qam_M4_R50,224,3.13337944350597
qam_M4_R50,228,4.99186780618622
qam_M4_R50,228,3.13337944350597
qam_M4_R50,232,4.99186780618622
qam_M4_R50,232,3.13337944350597
